danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,popularity,release_date_ordinal
0.724,0.684,-5.129,0.0342,0.00134,0.000441,0.151,0.163,105.0,35seOt4wMvu7gWzYFwqNGh,231333,59,738440
0.923,0.531,-7.525,0.0481,0.64,0.0174,0.121,0.858,119.985,7KoUk2BFyV8HkocdHMUNTw,155098,65,738421
0.803,0.71,-7.214,0.0432,0.269,0.0206,0.0865,0.415,125.042,2Z7ulQhQLbZJYyk6U2unUK,208604,55,738455
0.628,0.967,-2.43,0.0538,0.0217,0.00157,0.336,0.349,125.982,5vlzH0ps6WDyb158oFTAb3,186689,76,738449
0.616,0.841,-4.779,0.076,0.0559,0.00217,0.417,0.714,110.029,5YdnOm5990Kfq1Jodws98B,154561,80,738414
0.304,0.63,-12.729,0.04,0.288,0.931,0.118,0.494,169.717,0M9QjRGZhvqJATvgQS4Hob,104267,36,735023
0.927,0.329,-13.676,0.156,0.554,2.87e-05,0.0302,0.791,129.998,7FSRqo6WcCBpGbrOkCOiky,76947,49,734503
0.473,0.604,-4.034,0.0337,0.0376,0.0,0.103,0.271,123.848,6rjnRocdCULjLF61x2NR5e,232000,54,733713
0.602,0.451,-10.243,0.962,0.779,0.0,0.95,0.483,67.656,1J40ewgeAmCPXuaIWY667T,259360,8,732930
0.727,0.937,-2.871,0.286,0.00417,0.0,0.091,0.749,132.067,03UrZgTINDqvnUMbbIMhql,219493,70,734503
0.452,0.788,-5.712,0.0326,0.00283,0.000116,0.441,0.793,126.739,2SUpC3UgKwLVOS2FtZif9N,322093,57,733773
0.725,0.786,-6.753,0.0591,0.234,0.000246,0.106,0.314,136.98,5cLahRD071GpJBNDyrevGw,319347,0,733370
0.487,0.404,-6.039,0.0283,0.95,8.84e-06,0.127,0.234,78.023,3B9MsMfLlrJGlASQWC9p1c,266581,27,734786
0.296,0.871,-9.181,0.0516,0.00933,0.428,0.43,0.604,172.725,67arMcWgoOQhSrF3PC5ajX,134933,50,733408
0.393,0.917,-11.585,0.938,0.777,0.0,0.812,0.0718,70.416,7nYL2ZzG1DkDdjqn0jbFDh,429920,26,732580
0.258,0.919,-6.927,0.0809,0.065,0.0,0.279,0.636,93.62,1lfjTOtTRUDkzcmahA4lcs,187293,51,728294
0.452,0.794,-5.151,0.0483,0.0111,0.00182,0.416,0.282,137.825,01XFgRZfZI7oBagNf1Loml,196664,54,734666
0.702,0.773,-9.256,0.0343,0.0288,0.00871,0.147,0.953,103.564,5ubvP9oKmxLUVq506fgLhk,285373,76,722089
0.65,0.456,-8.14,0.358,0.252,0.358,0.0628,0.732,94.23,47Mr4aM41SGZSKpBtCGv8l,88502,38,734469
0.824,0.684,-7.354,0.0935,0.00278,1.45e-06,0.0481,0.87,101.152,0UREO3QWbXJW3gOUXpK1am,177267,58,729390
0.456,0.736,-4.818,0.0292,0.485,6.47e-06,0.109,0.482,97.211,008wXvCVu8W8vCbq5VQDlC,173693,44,734503
0.391,0.375,-12.573,0.046,0.0797,0.013,0.143,0.116,153.802,0VV8wkOM4w78A2OHZOTzNP,192773,61,720259
0.332,0.214,-12.518,0.0349,0.845,5.62e-06,0.0839,0.11,67.531,4eHbdreAnSOrDDsFfc4Fpm,271093,75,727519
0.618,0.638,-12.241,0.035,0.697,0.912,0.12,0.356,124.004,50CgC2wKmbWm4WLQKY87oP,296771,44,734043
0.245,0.321,-14.278,0.0379,0.865,0.855,0.156,0.142,116.931,2o660Ri2wTg7Rv6cKbFBCe,350333,32,726777
0.544,0.759,-4.839,0.121,0.257,6.53e-05,0.35,0.303,150.032,5DCaAsjQRLYvvdFUzaYnAz,184320,50,736370
0.695,0.573,-8.597,0.106,0.46,0.0734,0.482,0.408,99.939,51NFxnQvaosfDDutk0tams,179172,74,736384
0.799,0.436,-9.975,0.379,0.283,0.000105,0.0968,0.311,80.028,1WIfWj5skn5UUZTs4cEFBe,217566,50,736633
0.719,0.721,-6.693,0.243,0.049,0.00865,0.0661,0.893,105.026,4MUNZkVe0VfomuSgY1EJun,203115,27,736209
0.578,0.582,-7.278,0.0413,0.151,2.23e-05,0.394,0.236,129.969,6HzDEVbfnDD1p0qFKqiZWU,221533,35,736376
0.678,0.357,-14.712,0.128,0.675,0.00569,0.124,0.0661,113.301,5eCkuGPZNl4mISFNPgr3Dd,197773,54,736139
0.459,0.528,-8.253,0.061,0.0538,0.0243,0.101,0.424,149.851,3roA3Dq3UbolApp9s6poAG,244186,34,736334
0.621,0.679,-9.217,0.114,0.0102,0.236,0.192,0.209,120.028,3JBpwwdOE8Oz1GPhIN38F6,190036,14,736307
0.441,0.74,-5.502,0.0863,0.0128,0.0,0.127,0.584,129.336,6q8Gm9nwtl9ibUwyjj9C51,205436,28,736377
